sigma_A_over_omega,K_over_omega,positive_fraction,negative_fraction
5.454545455,0.303030303,0.147,0
5.515151515,0.303030303,0.1454,0
5.575757576,0.303030303,0.1436,0
5.636363636,0.303030303,0.142,0
5.696969697,0.303030303,0.1408,0
5.757575758,0.303030303,0.1394,0
5.818181818,0.303030303,0.138,0
5.878787879,0.303030303,0.1366,0
5.939393939,0.303030303,0.1352,0
6,0.303030303,0.1336,0
0,0.3636363636,1,0
0.06060606061,0.3636363636,1,0
0.1212121212,0.3636363636,1,0
0.1818181818,0.3636363636,1,0
0.2424242424,0.3636363636,1,0
0.303030303,0.3636363636,0.9996,0
0.3636363636,0.3636363636,0.9984,0.001
0.4242424242,0.3636363636,0.9926,0.0034
0.4848484848,0.3636363636,0.9812,0.0062
0.5454545455,0.3636363636,0.9674,0.0154
0.6060606061,0.3636363636,0.9496,0.0234
0.6666666667,0.3636363636,0.9168,0.0232
0.7272727273,0.3636363636,0.8958,0.0448
0.7878787879,0.3636363636,0.8554,0.0388
0.8484848485,0.3636363636,0.8304,0.0532
0.9090909091,0.3636363636,0.7824,0.0388
0.9696969697,0.3636363636,0.7514,0.0354
1.03030303,0.3636363636,0.7106,0.0328
1.090909091,0.3636363636,0.6824,0.036
1.151515152,0.3636363636,0.6398,0.0146
1.212121212,0.3636363636,0.6118,0.0164
1.272727273,0.3636363636,0.5906,0.015
1.333333333,0.3636363636,0.563,0.0144
1.393939394,0.3636363636,0.5394,0.0124
1.454545455,0.3636363636,0.5156,0.01
1.515151515,0.3636363636,0.5004,0.013
1.575757576,0.3636363636,0.4804,0.009
1.636363636,0.3636363636,0.4618,0.0032
1.696969697,0.3636363636,0.4456,0.0036
1.757575758,0.3636363636,0.432,0.001
1.818181818,0.3636363636,0.4134,0.0026
1.878787879,0.3636363636,0.4016,0.0008
1.939393939,0.3636363636,0.3888,0.0004
2,0.3636363636,0.3766,0.0004
2.060606061,0.3636363636,0.368,0.001
2.121212121,0.3636363636,0.3576,0
2.181818182,0.3636363636,0.3462,0.0002
2.242424242,0.3636363636,0.3362,0.0004
2.303030303,0.3636363636,0.3288,0
2.363636364,0.3636363636,0.3188,0
2.424242424,0.3636363636,0.3116,0
2.484848485,0.3636363636,0.3032,0
2.545454545,0.3636363636,0.2954,0
2.606060606,0.3636363636,0.2898,0
2.666666667,0.3636363636,0.283,0
2.727272727,0.3636363636,0.2762,0
2.787878788,0.3636363636,0.271,0
2.848484848,0.3636363636,0.2666,0
2.909090909,0.3636363636,0.2614,0
2.96969697,0.3636363636,0.2558,0
3.03030303,0.3636363636,0.2518,0
3.090909091,0.3636363636,0.2466,0
3.151515152,0.3636363636,0.2424,0
3.212121212,0.3636363636,0.2392,0
3.272727273,0.3636363636,0.2344,0
3.333333333,0.3636363636,0.2302,0
3.393939394,0.3636363636,0.2264,0
3.454545455,0.3636363636,0.2226,0
3.515151515,0.3636363636,0.2188,0
3.575757576,0.3636363636,0.215,0
3.636363636,0.3636363636,0.212,0
3.696969697,0.3636363636,0.2076,0
3.757575758,0.3636363636,0.204,0
3.818181818,0.3636363636,0.2014,0
3.878787879,0.3636363636,0.1976,0
3.939393939,0.3636363636,0.1944,0
4,0.3636363636,0.1924,0
4.060606061,0.3636363636,0.1886,0
4.121212121,0.3636363636,0.1864,0
4.181818182,0.3636363636,0.1842,0
4.242424242,0.3636363636,0.1822,0
4.303030303,0.3636363636,0.1802,0
4.363636364,0.3636363636,0.1784,0
4.424242424,0.3636363636,0.176,0
4.484848485,0.3636363636,0.1728,0
4.545454545,0.3636363636,0.1708,0
4.606060606,0.3636363636,0.1684,0
4.666666667,0.3636363636,0.1656,0
4.727272727,0.3636363636,0.164,0
4.787878788,0.3636363636,0.1624,0
4.848484848,0.3636363636,0.1608,0
4.909090909,0.3636363636,0.1594,0
