sigma_A_over_omega,K_over_omega,D
0.2424242424,0.3636363636,0.9741085762
0.303030303,0.3636363636,0.9591030223
0.3636363636,0.3636363636,0.9387528241
0.4242424242,0.3636363636,0.9120195955
0.4848484848,0.3636363636,0.8790139324
0.5454545455,0.3636363636,0.8411932541
0.6060606061,0.3636363636,0.7997547062
0.6666666667,0.3636363636,0.7586993638
0.7272727273,0.3636363636,0.7179380725
0.7878787879,0.3636363636,0.6805113874
0.8484848485,0.3636363636,0.6451404548
0.9090909091,0.3636363636,0.6107081457
0.9696969697,0.3636363636,0.5804772362
1.03030303,0.3636363636,0.5523273035
1.090909091,0.3636363636,0.5264529513
1.151515152,0.3636363636,0.5016512306
1.212121212,0.3636363636,0.479457365
1.272727273,0.3636363636,0.4588053241
1.333333333,0.3636363636,0.4390485223
1.393939394,0.3636363636,0.4203645458
1.454545455,0.3636363636,0.4040006732
1.515151515,0.3636363636,0.3889192165
1.575757576,0.3636363636,0.3751463722
1.636363636,0.3636363636,0.3620331493
1.696969697,0.3636363636,0.3494672178
1.757575758,0.3636363636,0.3376358676
1.818181818,0.3636363636,0.3262902842
1.878787879,0.3636363636,0.3164425141
1.939393939,0.3636363636,0.3068686574
2,0.3636363636,0.2980825479
2.060606061,0.3636363636,0.2899365631
2.121212121,0.3636363636,0.2814821566
2.181818182,0.3636363636,0.2735347114
2.242424242,0.3636363636,0.2663514962
2.303030303,0.3636363636,0.2593596376
2.363636364,0.3636363636,0.2526007273
2.424242424,0.3636363636,0.2466731597
2.484848485,0.3636363636,0.2407432136
2.545454545,0.3636363636,0.2350938478
2.606060606,0.3636363636,0.2301383249
2.666666667,0.3636363636,0.22511859
2.727272727,0.3636363636,0.2201907065
2.787878788,0.3636363636,0.2158414488
2.848484848,0.3636363636,0.2117522239
2.909090909,0.3636363636,0.2075710187
2.96969697,0.3636363636,0.2034588455
3.03030303,0.3636363636,0.1998051128
3.090909091,0.3636363636,0.1960822225
3.151515152,0.3636363636,0.1925363522
3.212121212,0.3636363636,0.1891486392
3.272727273,0.3636363636,0.1856856228
3.333333333,0.3636363636,0.1824049773
3.393939394,0.3636363636,0.1792531709
3.454545455,0.3636363636,0.1763373737
3.515151515,0.3636363636,0.1733260064
3.575757576,0.3636363636,0.1704643117
3.636363636,0.3636363636,0.1678369259
3.696969697,0.3636363636,0.1650116545
3.757575758,0.3636363636,0.16252689
3.818181818,0.3636363636,0.1600507089
3.878787879,0.3636363636,0.1575998468
3.939393939,0.3636363636,0.1553911222
4,0.3636363636,0.1532641762
4.060606061,0.3636363636,0.1510409149
4.121212121,0.3636363636,0.1491924941
4.181818182,0.3636363636,0.1472613513
4.242424242,0.3636363636,0.1453996373
4.303030303,0.3636363636,0.1435498227
4.363636364,0.3636363636,0.14171553
4.424242424,0.3636363636,0.1397997228
4.484848485,0.3636363636,0.1379641594
4.545454545,0.3636363636,0.1363338471
4.606060606,0.3636363636,0.1346632237
4.666666667,0.3636363636,0.1330883375
4.727272727,0.3636363636,0.1316587831
4.787878788,0.3636363636,0.1301514731
4.848484848,0.3636363636,0.1287197046
4.909090909,0.3636363636,0.1274204444
4.96969697,0.3636363636,0.1260913756
5.03030303,0.3636363636,0.1247891844
5.090909091,0.3636363636,0.1234398136
5.151515152,0.3636363636,0.1221619375
5.212121212,0.3636363636,0.1207878642
5.272727273,0.3636363636,0.1194988053
5.333333333,0.3636363636,0.1183018584
5.393939394,0.3636363636,0.1170521859
5.454545455,0.3636363636,0.1157918949
5.515151515,0.3636363636,0.1145999085
5.575757576,0.3636363636,0.1133173392
5.636363636,0.3636363636,0.1121508068
5.696969697,0.3636363636,0.1110395938
5.757575758,0.3636363636,0.109808464
5.818181818,0.3636363636,0.1087796508
5.878787879,0.3636363636,0.1077110051
5.939393939,0.3636363636,0.1065844993
6,0.3636363636,0.105542461
0,0.4242424242,1
0.06060606061,0.4242424242,0.9984453014
0.1212121212,0.4242424242,0.9937894753
0.1818181818,0.4242424242,0.9860157011
0.2424242424,0.4242424242,0.9751501701
0.303030303,0.4242424242,0.9608685708
0.3636363636,0.4242424242,0.9420382822
0.4242424242,0.4242424242,0.9170785452
0.4848484848,0.4242424242,0.8862498659
0.5454545455,0.4242424242,0.8497207608
0.6060606061,0.4242424242,0.8094996894
0.6666666667,0.4242424242,0.7684998102
0.7272727273,0.4242424242,0.7282539723
0.7878787879,0.4242424242,0.6893514743
0.8484848485,0.4242424242,0.6538123887
